Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,32,0,0,0,0
3,41,0,0,0,0
4,71,0,0,0,0
5,98,0,0,0,0
6,117,0,0,0,0
7,147,0,0,0,0
8,161,0,0,0,0
9,174,0,0,0,0
10,185,0,0,0,0
11,195,0,0,0,0
12,218,0,0,0,2
13,236,0,0,0,2
14,247,0,0,0,2
15,269,0,0,0,2
16,304,0,0,0,2
17,309,0,0,0,2
18,324,0,0,0,3
19,326,0,0,0,4
20,339,0,0,0,4
21,365,1,0,0,4
22,370,14,0,0,5
23,383,25,0,0,5
24,391,42,0,0,5
25,427,75,0,0,5
26,451,96,0,0,6
27,472,116,0,0,7
28,482,146,0,0,9
29,508,157,0,0,9
30,539,167,0,0,9
31,566,182,0,0,9
32,575,192,0,0,9
33,594,210,0,0,9
34,609,228,0,0,10
35,632,241,0,0,11
36,657,270,0,0,13
37,673,290,0,0,13
38,691,305,0,0,13
39,715,316,0,0,13
40,747,331,0,0,13
41,760,344,0,0,14
42,788,351,0,0,15
43,814,370,0,0,15
44,852,384,0,0,17
45,875,397,0,0,18
46,895,419,0,0,18
47,908,442,0,0,19
48,915,461,0,0,19
49,945,486,0,0,20
50,969,503,0,0,20
51,998,525,0,0,21
52,1031,546,0,0,21
53,1036,570,0,0,21
54,1057,586,0,0,21
55,1076,605,0,0,21
56,1098,631,0,0,21
57,1102,652,0,0,22
58,1103,666,0,0,23
59,1133,685,0,0,23
60,1141,714,0,0,23
61,1168,729,0,0,23
62,1189,759,0,0,23
63,1199,780,0,0,23
64,1215,803,0,0,23
65,1239,840,0,0,23
66,1263,862,0,0,23
67,1283,881,0,0,24
68,1286,897,0,0,24
69,1310,914,0,0,24
70,1323,943,0,0,24
71,1345,966,0,0,24
72,1370,988,0,0,24
73,1406,1018,0,0,24
74,1420,1037,0,0,24
75,1443,1055,0,0,25
76,1463,1075,0,0,26
77,1476,1089,0,0,26
78,1492,1099,0,0,27
79,1507,1106,0,0,27
80,1508,1116,0,0,27
81,1530,1129,0,0,27
82,1548,1160,0,0,28
83,1563,1183,0,0,28
84,1572,1194,0,0,28
85,1591,1217,0,0,29
86,1609,1241,0,0,30
87,1630,1257,0,0,30
88,1665,1272,0,0,30
89,1691,1283,0,0,31
90,1714,1302,0,0,31
91,1752,1322,0,0,31
92,1770,1346,0,0,31
93,1799,1365,0,0,31
94,1818,1379,0,0,31
95,1835,1405,0,0,31
96,1880,1425,0,0,31
97,1886,1454,0,0,32
98,1903,1466,0,0,32
99,1930,1482,0,0,33
100,1952,1482,0,0,33
