Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,14,0,0,0,0
3,37,0,0,0,0
4,70,0,0,0,0
5,91,0,0,0,0
6,105,0,0,0,0
7,125,0,0,0,0
8,126,0,0,0,0
9,145,0,0,0,0
10,172,0,0,0,1
11,195,0,0,0,2
12,225,0,0,0,2
13,244,0,0,0,3
14,265,0,0,0,3
15,290,0,0,0,3
16,324,0,0,0,3
17,338,0,0,0,4
18,379,0,0,0,6
19,400,0,0,0,6
20,412,1,0,0,7
21,429,4,0,0,7
22,452,10,0,0,7
23,476,19,0,0,7
24,487,37,0,0,7
25,497,51,0,0,7
26,522,77,0,0,9
27,550,101,0,0,10
28,555,121,0,0,10
29,585,139,0,0,10
30,596,155,0,0,11
31,617,172,0,0,11
32,629,193,0,0,11
33,646,216,0,0,11
34,672,239,0,0,11
35,687,263,0,0,13
36,716,283,0,0,13
37,742,307,0,0,13
38,779,328,0,0,13
39,795,361,0,0,14
40,817,381,0,0,15
41,839,403,0,0,15
42,868,418,0,0,15
43,906,442,0,0,16
44,935,460,0,0,16
45,961,478,0,0,16
46,973,497,0,0,16
47,996,514,0,0,17
48,1024,537,0,0,17
49,1044,554,0,0,17
50,1076,571,0,0,17
51,1087,586,0,0,17
52,1102,608,0,0,17
53,1130,626,0,0,18
54,1158,637,0,0,18
55,1171,661,0,0,18
56,1189,679,0,0,19
57,1199,707,0,0,19
58,1208,732,0,0,19
59,1237,757,0,0,19
60,1267,783,0,0,19
61,1281,811,0,0,20
62,1315,836,0,0,22
63,1335,862,0,0,22
64,1362,887,0,0,23
65,1382,910,0,0,24
66,1414,934,0,0,24
67,1450,956,0,0,24
68,1466,992,0,0,24
69,1495,1009,0,0,25
70,1496,1039,0,0,25
71,1508,1058,0,0,27
72,1518,1073,0,0,27
73,1544,1099,0,0,27
74,1575,1121,0,0,27
75,1592,1139,0,0,27
76,1621,1159,0,0,27
77,1646,1176,0,0,28
78,1658,1191,0,0,30
79,1674,1214,0,0,30
80,1695,1238,0,0,32
81,1712,1257,0,0,32
82,1747,1276,0,0,32
83,1758,1298,0,0,32
84,1788,1325,0,0,32
85,1825,1345,0,0,34
86,1854,1377,0,0,35
87,1886,1398,0,0,35
88,1903,1426,0,0,35
89,1918,1450,0,0,36
90,1940,1472,0,0,37
91,1957,1492,0,0,37
92,1981,1505,0,0,38
93,2009,1524,0,0,39
94,2020,1539,0,0,40
95,2033,1559,0,0,41
96,2047,1577,0,0,41
97,2064,1606,0,0,41
98,2080,1623,0,0,41
99,2106,1653,0,0,41
100,2127,1653,0,0,41
