Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,13,0,0,0,0
3,31,0,0,0,0
4,46,0,0,0,0
5,63,0,0,0,0
6,85,0,0,0,1
7,92,0,0,0,2
8,107,0,0,0,4
9,134,0,0,0,5
10,146,0,0,0,6
11,166,0,0,0,6
12,194,0,0,0,10
13,224,0,0,0,11
14,244,0,0,0,16
15,256,0,0,0,23
16,277,0,0,0,30
17,287,0,0,0,39
18,307,0,0,0,49
19,317,0,0,0,56
20,336,2,0,0,63
21,350,4,0,0,76
22,365,13,0,0,89
23,390,21,0,0,103
24,405,34,0,0,116
25,421,54,0,0,125
26,438,67,0,0,146
27,466,80,0,0,163
28,488,94,0,0,176
29,516,108,0,0,187
30,546,131,0,0,205
31,561,146,0,0,224
32,572,169,0,0,243
33,588,188,0,0,263
34,593,208,0,0,281
35,610,233,0,0,303
36,627,255,0,0,314
37,635,267,0,0,329
38,653,284,0,0,341
39,668,303,0,0,353
40,693,313,0,0,370
41,699,325,0,0,380
42,733,342,0,0,407
43,746,357,0,0,428
44,755,374,0,0,438
45,773,396,0,0,448
46,782,419,0,0,465
47,812,447,0,0,491
48,831,461,0,0,508
49,852,483,0,0,528
50,891,501,0,0,551
51,927,528,0,0,574
52,974,544,0,0,609
53,988,563,0,0,636
54,1010,574,0,0,656
55,1014,590,0,0,672
56,1031,605,0,0,683
57,1058,617,0,0,696
58,1084,629,0,0,717
59,1110,649,0,0,727
60,1135,665,0,0,737
61,1171,682,0,0,747
62,1187,704,0,0,757
63,1207,720,0,0,779
64,1238,734,0,0,794
65,1258,744,0,0,803
66,1278,760,0,0,811
67,1299,776,0,0,818
68,1310,806,0,0,831
69,1327,830,0,0,839
70,1339,866,0,0,847
71,1359,899,0,0,855
72,1382,922,0,0,863
73,1405,939,0,0,875
74,1424,965,0,0,880
75,1434,985,0,0,887
76,1435,1005,0,0,893
77,1455,1022,0,0,900
78,1463,1047,0,0,904
79,1480,1075,0,0,913
80,1494,1098,0,0,918
81,1506,1130,0,0,924
82,1531,1153,0,0,933
83,1565,1180,0,0,947
84,1589,1200,0,0,965
85,1594,1221,0,0,981
86,1616,1250,0,0,994
87,1627,1265,0,0,1002
88,1657,1286,0,0,1021
89,1685,1308,0,0,1038
90,1718,1324,0,0,1053
91,1752,1338,0,0,1075
92,1760,1349,0,0,1090
93,1779,1368,0,0,1107
94,1801,1385,0,0,1123
95,1830,1403,0,0,1143
96,1839,1424,0,0,1156
97,1872,1434,0,0,1177
98,1884,1449,0,0,1187
99,1900,1465,0,0,1197
100,1928,1465,0,0,1197
