Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,22,0,0,0,0
3,41,0,0,0,0
4,74,0,0,0,0
5,104,0,0,0,0
6,122,0,0,0,0
7,134,0,0,0,0
8,144,0,0,0,0
9,145,0,0,0,0
10,181,0,0,0,0
11,183,0,0,0,1
12,190,0,0,0,1
13,213,0,0,0,1
14,214,0,0,0,1
15,224,0,0,0,1
16,241,0,0,0,1
17,281,0,0,0,1
18,313,0,0,0,1
19,323,0,0,0,2
20,326,1,0,0,2
21,354,4,0,0,3
22,367,6,0,0,3
23,378,20,0,0,4
24,420,40,0,0,4
25,447,60,0,0,5
26,464,81,0,0,7
27,465,113,0,0,8
28,481,130,0,0,8
29,490,143,0,0,8
30,524,154,0,0,8
31,546,163,0,0,8
32,569,173,0,0,9
33,597,185,0,0,9
34,614,205,0,0,10
35,654,216,0,0,10
36,684,228,0,0,11
37,685,248,0,0,12
38,697,263,0,0,12
39,720,287,0,0,12
40,727,308,0,0,12
41,746,328,0,0,12
42,768,347,0,0,12
43,783,361,0,0,12
44,804,391,0,0,13
45,833,408,0,0,13
46,860,428,0,0,15
47,872,443,0,0,15
48,874,462,0,0,15
49,886,485,0,0,15
50,907,505,0,0,15
51,930,522,0,0,15
52,950,545,0,0,16
53,993,561,0,0,16
54,1009,576,0,0,17
55,1035,606,0,0,17
56,1060,634,0,0,18
57,1081,654,0,0,18
58,1101,677,0,0,18
59,1130,697,0,0,19
60,1144,710,0,0,19
61,1183,726,0,0,19
62,1204,740,0,0,19
63,1235,760,0,0,19
64,1266,783,0,0,20
65,1284,801,0,0,20
66,1309,822,0,0,20
67,1331,840,0,0,20
68,1360,859,0,0,20
69,1381,873,0,0,20
70,1395,887,0,0,21
71,1418,906,0,0,21
72,1420,928,0,0,21
73,1444,948,0,0,21
74,1456,974,0,0,21
75,1476,997,0,0,21
76,1498,1028,0,0,21
77,1518,1052,0,0,23
78,1547,1073,0,0,23
79,1568,1100,0,0,23
80,1577,1123,0,0,23
81,1578,1150,0,0,23
82,1597,1167,0,0,23
83,1623,1194,0,0,24
84,1634,1224,0,0,26
85,1667,1247,0,0,27
86,1674,1274,0,0,29
87,1708,1296,0,0,30
88,1728,1325,0,0,30
89,1739,1347,0,0,30
90,1786,1366,0,0,30
91,1808,1382,0,0,30
92,1820,1402,0,0,30
93,1840,1412,0,0,31
94,1865,1427,0,0,32
95,1881,1449,0,0,32
96,1915,1469,0,0,32
97,1947,1487,0,0,33
98,1986,1517,0,0,33
99,2007,1540,0,0,33
100,2039,1540,0,0,33
