Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,32,0,0,0,0
3,57,0,0,0,1
4,71,0,0,0,1
5,92,0,0,0,2
6,106,0,0,0,3
7,125,0,0,0,3
8,135,0,0,0,3
9,168,0,0,0,6
10,177,0,0,0,6
11,206,0,0,0,9
12,220,0,0,0,14
13,230,0,0,0,19
14,244,0,0,0,21
15,274,0,0,0,26
16,319,0,0,0,35
17,339,0,0,0,42
18,346,0,0,0,59
19,365,2,0,0,72
20,376,2,0,0,83
21,399,7,0,0,93
22,409,14,0,0,111
23,436,33,0,0,130
24,485,45,0,0,146
25,519,66,0,0,172
26,520,87,0,0,192
27,533,104,0,0,219
28,538,119,0,0,239
29,554,136,0,0,256
30,569,154,0,0,284
31,596,177,0,0,307
32,616,195,0,0,334
33,629,214,0,0,354
34,630,236,0,0,374
35,651,248,0,0,396
36,668,267,0,0,420
37,672,298,0,0,439
38,703,316,0,0,462
39,704,334,0,0,484
40,728,359,0,0,502
41,744,383,0,0,519
42,764,396,0,0,537
43,779,417,0,0,562
44,789,433,0,0,581
45,813,456,0,0,602
46,823,477,0,0,622
47,849,505,0,0,640
48,860,529,0,0,656
49,866,541,0,0,669
50,897,552,0,0,683
51,915,568,0,0,701
52,923,590,0,0,724
53,941,605,0,0,742
54,968,619,0,0,768
55,984,630,0,0,787
56,997,643,0,0,803
57,1001,659,0,0,815
58,1028,674,0,0,830
59,1037,693,0,0,848
60,1068,708,0,0,870
61,1087,723,0,0,890
62,1104,741,0,0,901
63,1110,762,0,0,920
64,1130,777,0,0,935
65,1147,787,0,0,953
66,1175,805,0,0,971
67,1201,825,0,0,995
68,1234,837,0,0,1024
69,1256,855,0,0,1043
70,1274,873,0,0,1060
71,1298,889,0,0,1081
72,1336,904,0,0,1106
73,1339,921,0,0,1121
74,1361,937,0,0,1144
75,1374,953,0,0,1161
76,1384,973,0,0,1173
77,1410,983,0,0,1190
78,1432,1001,0,0,1206
79,1454,1023,0,0,1223
80,1473,1039,0,0,1236
81,1494,1055,0,0,1259
82,1503,1074,0,0,1273
83,1519,1090,0,0,1285
84,1535,1113,0,0,1297
85,1550,1127,0,0,1319
86,1568,1155,0,0,1327
87,1586,1173,0,0,1342
88,1605,1206,0,0,1360
89,1616,1224,0,0,1380
90,1631,1251,0,0,1392
91,1639,1272,0,0,1404
92,1659,1286,0,0,1418
93,1684,1308,0,0,1438
94,1698,1325,0,0,1458
95,1702,1344,0,0,1466
96,1738,1366,0,0,1482
97,1761,1382,0,0,1496
98,1780,1408,0,0,1506
99,1801,1427,0,0,1524
100,1817,1427,0,0,1524
