day,percentage_infected
1,0.0054095927225831
2,0.00602358149659628
3,0.0066851746865682
4,0.00739545421104336
5,0.00822528573468761
6,0.0091557356829719
7,0.010140281558482
8,0.0112546576593341
9,0.0125286167455025
10,0.0138858835595986
11,0.0154076019924612
12,0.017084575736462
13,0.0189222143843234
14,0.0209573031665592
15,0.023306689285977
16,0.025972536579666
17,0.0288055402884828
18,0.0319122693890622
19,0.035377654487149
20,0.0391384033478887
21,0.0434817653448507
22,0.0479435974224373
23,0.0529512574057324
24,0.058307295160362
25,0.0642010464316163
26,0.070468600560001
27,0.0773398652362261
28,0.0847969888043069
29,0.0928156280969918
30,0.101399569829187
31,0.110706774108391
32,0.12046297458357
33,0.130721726222676
34,0.141460308736276
35,0.152795028367904
36,0.164430521354908
37,0.176710296835172
38,0.189351433109304
39,0.202239246811586
40,0.215229842775597
41,0.22844115012269
42,0.241649752673421
43,0.254897304291755
44,0.267822444183822
45,0.280498201851379
46,0.292377126510899
47,0.303948245344504
48,0.314744169540964
49,0.325109490156705
50,0.334482691467125
51,0.343246231677709
52,0.350873216457279
53,0.35756380073657
54,0.36343483171839
55,0.367953464519563
56,0.371819159479121
57,0.374517464329146
58,0.376192274236057
59,0.377206031912269
60,0.377307191296182
61,0.376660204006561
62,0.375220170423809
63,0.373013056592995
64,0.370198445499435
65,0.36679094304348
66,0.362923625206105
67,0.358249737093794
68,0.353209078594891
69,0.348002345599405
70,0.34225952196511
71,0.336287331599379
72,0.330136624673802
73,0.323626720791445
74,0.31682740369843
75,0.310088133084636
76,0.303280701602538
77,0.296224969814473
78,0.28914110814425
79,0.282413738634446
80,0.275310943389694
81,0.268221131167477
82,0.261332555794539
83,0.254444521380874
84,0.247505095836345
85,0.240611110870685
86,0.233798810755136
87,0.227091456738405
88,0.220616174249473
89,0.214122499145284
90,0.207904172310675
91,0.20179944692324
92,0.195743407870308
93,0.189884277992479
94,0.184100341453493
95,0.178463545836561
96,0.172899238762112
97,0.16755942978565
98,0.162217997931372
99,0.1571513733874
100,0.152181039593891
101,0.147355682885347
102,0.142617420619636
103,0.138066330262127
104,0.1335779911802
105,0.129281151680652
106,0.125123338714075
107,0.121023408389629
108,0.116939165884079
109,0.113151910018998
110,0.109424159673866
111,0.105837599698794
112,0.102334888410921
113,0.0989160258102488
114,0.0956291572720073
115,0.0924310060544162
116,0.0892988518680406
117,0.0862727256990276
118,0.0834034777189695
119,0.0805937352588598
120,0.0778959713681076
121,0.0752447299747697
122,0.0727005985173388
123,0.0702679046699932
124,0.0678676683789831
125,0.0655626409198904
126,0.0634101639755746
127,0.0612138693302059
128,0.0590835717160526
129,0.0570657936305291
130,0.0551269955987554
131,0.0532552765167416
132,0.0514208836245137
133,0.0496633069489464
134,0.0479522527707934
135,0.0462915078049604
136,0.0446924321961648
137,0.0431620584149461
138,0.0416711746606022
139,0.0402397964262067
140,0.0387894846172821
141,0.0374679211151551
142,0.036179897087908
143,0.034937854598803
144,0.0337428755663844
145,0.0325738625790341
146,0.0314643551116324
147,0.0303721583409428
148,0.0292967313076933
149,0.0282883832242038
150,0.0273195251675892
151,0.0263750102782262
152,0.0254337411444967
153,0.0245514365714434
154,0.0237367519074224
155,0.0228901506463381
156,0.0220733021452281
157,0.0213256964309671
158,0.0205802545537952
159,0.0198964820336607
160,0.0191743014051958
161,0.0185370513824755
162,0.0178695076405088
163,0.017233339536333
164,0.016632333784854
165,0.0160535073635376
166,0.0155011879465619
167,0.0149418360590468
168,0.0143824841715317
169,0.0138631632701637
170,0.0133860371920319
171,0.0129224350957065
172,0.012481553288816
173,0.012073129038261
174,0.0116425254575434
175,0.011243838473889
176,0.0108256769564333
177,0.0104675619181983
178,0.0101181022283194
179,0.00975565951590637
180,0.00940511790748298
181,0.00908649289612284
182,0.00878734241856399
183,0.0084719631628374
184,0.00813981416967079
185,0.00786013822591325
186,0.0075804622821557
187,0.00731809703511042
188,0.00706438713642127
189,0.00680526764500954
190,0.00655318062413717
191,0.00634328842650095
192,0.00610634826525181
193,0.00588942359707622
194,0.0056990059332413
195,0.00549885100250572
196,0.00528571304923595
197,0.00508772195558941
198,0.00490163196593255
199,0.00471662389482021
200,0.0045662372171324
201,0.00440881806890523
