Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,38,0,0,0,0
3,48,0,0,0,0
4,56,0,0,0,0
5,61,0,0,0,0
6,77,0,0,0,0
7,104,0,0,0,0
8,110,0,0,0,0
9,132,0,0,0,0
10,161,0,0,0,0
11,181,0,0,0,1
12,214,0,0,0,1
13,234,0,0,0,1
14,268,0,0,0,1
15,295,0,0,0,3
16,332,0,0,0,3
17,355,0,0,0,3
18,369,0,0,0,3
19,397,0,0,0,4
20,416,2,0,0,5
21,419,6,0,0,5
22,435,14,0,0,5
23,462,28,0,0,5
24,477,39,0,0,5
25,502,50,0,0,5
26,522,68,0,0,5
27,552,79,0,0,5
28,558,99,0,0,5
29,585,112,0,0,5
30,610,127,0,0,6
31,621,146,0,0,7
32,663,169,0,0,8
33,675,193,0,0,8
34,686,225,0,0,8
35,711,253,0,0,9
36,735,286,0,0,9
37,750,314,0,0,9
38,774,327,0,0,9
39,783,349,0,0,9
40,798,372,0,0,9
41,827,398,0,0,9
42,828,426,0,0,9
43,829,439,0,0,9
44,860,452,0,0,9
45,876,467,0,0,9
46,911,483,0,0,10
47,930,500,0,0,10
48,945,535,0,0,10
49,967,556,0,0,11
50,980,576,0,0,11
51,1000,597,0,0,11
52,1018,625,0,0,11
53,1047,647,0,0,11
54,1065,668,0,0,11
55,1074,685,0,0,11
56,1109,707,0,0,11
57,1146,731,0,0,11
58,1166,749,0,0,11
59,1193,766,0,0,11
60,1212,778,0,0,11
61,1241,792,0,0,11
62,1249,807,0,0,13
63,1284,819,0,0,13
64,1293,833,0,0,13
65,1314,853,0,0,13
66,1348,873,0,0,13
67,1371,897,0,0,13
68,1393,919,0,0,13
69,1420,941,0,0,13
70,1447,956,0,0,14
71,1449,976,0,0,14
72,1468,1001,0,0,14
73,1501,1015,0,0,15
74,1523,1035,0,0,15
75,1546,1056,0,0,15
76,1550,1078,0,0,15
77,1581,1096,0,0,15
78,1605,1121,0,0,17
79,1618,1148,0,0,17
80,1637,1173,0,0,17
81,1654,1195,0,0,17
82,1687,1223,0,0,17
83,1711,1244,0,0,17
84,1723,1262,0,0,17
85,1741,1291,0,0,17
86,1744,1313,0,0,17
87,1782,1337,0,0,19
88,1798,1360,0,0,20
89,1818,1378,0,0,21
90,1844,1397,0,0,21
91,1874,1410,0,0,21
92,1897,1440,0,0,21
93,1914,1460,0,0,21
94,1935,1485,0,0,22
95,1936,1506,0,0,22
96,1960,1521,0,0,22
97,1980,1550,0,0,22
98,2016,1573,0,0,22
99,2032,1590,0,0,23
100,2060,1590,0,0,23
