840,1,0,17
841,1,0,17
842,1,0,17
843,1,0,17
844,1,3,17
2006,6,3,17
2007,6,3,17
2008,6,3,17
2011,6,0,17
2012,6,0,17
2013,6,0,17
2014,6,0,17
2015,6,0,17
2227,6,0,17
2228,6,3,17
2283,3,0,1
2311,6,0,15
2312,6,0,15
2313,6,0,15
2314,6,0,15
2356,6,6,13
2357,6,6,13
2358,6,6,13
2359,6,6,13
2360,6,6,13
2549,6,0,13
2550,6,0,13
2551,6,0,13
2552,6,0,13
2553,6,0,13
3240,3,0,1
3395,6,0,17
3396,6,0,17
3397,6,0,17
3398,6,0,17
3399,6,0,17
3400,6,0,17
3401,6,0,17
3402,6,3,17
3403,6,3,17
3404,6,3,17
3405,6,3,17
3406,6,3,17
3407,6,3,17
3408,6,3,17
3409,6,3,17
3410,6,3,17
3411,6,3,17
3412,6,3,17
3451,6,3,15
3452,6,0,15
3453,6,0,15
3454,6,0,15
3455,6,0,15
3456,6,0,15
3457,6,0,15
3458,6,0,15
3459,6,0,15
3460,6,0,15
3461,6,0,15
3462,6,0,15
3463,6,0,15
3464,6,0,15
3465,6,0,15
3466,6,0,15
3467,6,0,15
3468,6,0,15
3521,6,0,17
3522,6,0,17
3523,6,0,17
3524,6,0,17
3561,6,0,13
3562,6,0,13
3563,6,0,13
3564,6,0,13
3565,6,0,13
3566,6,0,13
3567,6,0,13
3619,6,3,15
3620,6,3,15
3621,6,3,15
3622,6,3,15
3623,6,3,15
3624,6,3,15
3625,6,3,15
3626,6,3,15
3698,6,3,15
3699,6,3,15
3700,6,3,15
3701,6,3,15
3702,6,3,15
3703,6,3,15
3722,3,4,1
3757,6,0,17
3758,6,0,17
3759,6,0,17
3760,6,0,17
3761,6,0,17
3762,6,0,17
3993,6,4,17
3994,6,0,17
4030,6,4,19
4031,6,4,19
4032,6,4,19
4033,6,4,19
4034,6,4,19
4035,6,4,19
4072,6,4,17
4073,6,4,17
4074,6,4,17
4075,6,4,17
4076,6,0,17
4077,6,0,17
4078,6,0,17
4079,6,0,17
4080,6,0,17
4081,6,0,17
4082,6,0,17
4083,6,0,17
4084,6,0,17
4089,6,0,17
4090,6,0,17
4091,6,0,17
4092,6,4,17
4093,6,4,17
4094,6,4,17
4103,6,4,15
4104,6,4,15
4129,6,0,13
4130,6,0,13
4131,6,0,13
4131,6,6,15
4132,6,0,13
4132,6,6,15
4133,6,0,13
4133,6,6,15
4134,6,0,15
4135,6,0,15
4136,6,0,15
4137,6,0,15
4185,6,4,17
4186,6,4,17
4187,6,4,17
4188,6,4,17
4189,6,4,17
4190,6,4,17
4191,6,4,17
4192,6,4,17
4193,6,4,17
4194,6,4,17
4195,6,4,17
4196,6,4,17
4197,6,0,17
4198,6,0,17
4199,6,4,17
4200,6,4,17
4201,6,0,17
4202,2,5,17
4202,6,5,17
4681,2,0,13
4682,2,2,13
4683,2,5,13
4684,2,0,13
4685,2,3,13
4686,2,0,13
4687,2,0,13
4688,2,0,13
4689,2,0,13
4797,6,0,15
4798,6,0,15
4799,6,0,15
4800,6,0,15
4801,6,0,15
4802,6,0,15
4803,6,0,15
4804,6,0,15
4805,6,0,15
4806,6,0,15
4807,6,0,15
4808,6,0,15
4809,6,0,15
4810,6,0,15
4811,6,0,15
4812,6,0,15
4813,6,0,15
4814,6,0,15
4815,6,0,15
4816,6,0,15
4817,6,0,15
4818,6,0,15
4819,6,0,15
4820,6,0,15
4821,6,0,15
4902,6,0,13
4903,6,0,13
5583,6,4,19
5584,6,4,19
5585,6,4,19
5586,6,4,19
5587,6,4,19
5588,6,4,19
5589,6,4,19
5590,6,4,19
6198,6,0,15
6199,6,0,15
6200,6,0,15
6201,6,0,15
6218,6,3,17
6219,6,3,17
6232,6,6,15
6233,6,6,15
6234,6,6,15
6235,6,6,15
6236,6,6,15
6237,6,6,15
6238,6,6,15
6239,6,6,15
6240,6,6,15
6241,6,6,15
6242,6,6,15
6602,3,6,1
6769,6,1,13
6770,6,1,13
7217,6,0,17
7218,6,0,17
7329,6,5,17
7330,6,0,17
7331,6,5,17
7332,6,5,17
7333,6,5,17
7413,6,0,17
7414,6,0,17
7478,6,5,17
7479,6,5,17
7480,6,5,17
7481,6,5,17
7482,6,5,17
7483,6,0,17
7484,6,0,17
7485,6,0,17
7486,6,0,17
7489,6,5,17
7490,6,5,17
7491,6,5,17
7492,6,5,17
7493,6,5,17
7494,6,5,17
7495,6,5,17
7496,6,5,17
7497,6,5,17
7571,6,0,17
7572,6,0,17
7573,6,0,17
7574,6,0,17
7575,6,0,17
7576,6,0,17
7577,6,0,17
7603,6,3,19
7604,6,3,19
7605,6,3,19
7606,6,3,19
7607,6,3,19
7608,6,3,19
7609,6,3,19
7612,6,0,19
7613,6,0,19
7614,6,0,19
7715,6,0,15
7716,6,0,15
8478,6,4,17
8479,6,4,17
9194,6,0,13
9195,6,0,13
9196,6,0,13
9197,6,0,13
9198,6,0,13
9199,6,0,13
9200,6,0,13
9201,6,0,13
9670,6,4,15
9671,6,4,15
10551,6,3,15
10552,6,3,15
11000,6,4,15
11001,6,4,15
11002,6,4,15
11003,6,4,15
11004,6,4,15
11007,6,0,9
11008,6,0,9
11009,6,0,9
11010,6,0,9
11011,6,0,9
11012,6,0,9
11013,6,0,9
11014,6,0,9
11015,6,0,9
11016,6,0,9
11017,6,0,9
11018,6,0,9
11403,4,1,1
11894,6,3,17
11895,6,3,17
11937,6,0,17
11938,6,0,17
11979,6,0,17
11980,6,0,17
12067,6,3,17
12068,6,3,17
12069,6,3,17
12070,6,3,17
12128,6,3,17
12129,6,3,17
12130,6,3,17
12131,6,3,17
12132,6,3,17
12133,6,3,17
12223,6,0,17
12224,6,0,17
12225,6,0,17
12346,6,6,17
12347,6,6,17
12364,6,0,13
12365,6,0,13
12366,6,6,13
12367,6,4,13
12368,6,4,13
12369,6,4,13
12370,6,0,13
12371,6,0,13
12372,6,0,13
12373,6,0,13
12502,6,4,19
12503,6,4,19
13061,6,0,13
13062,6,6,13
13321,3,0,9
13322,3,0,1
13322,3,3,9
13322,5,0,1
13323,3,0,9
13324,3,0,9
13325,3,0,9
13326,3,0,9
13327,3,0,9
13328,3,0,9
13329,3,0,9
13330,3,0,9
13331,3,0,9
13545,6,0,15
13546,6,0,15
13547,6,0,15
13548,6,0,15
13549,6,0,15
13550,6,0,15
13551,6,0,15
13690,6,3,15
13691,6,3,15
13733,6,0,15
13734,6,0,15
