Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,40,0,0,0,0
3,57,0,0,0,0
4,79,0,0,0,0
5,83,0,0,0,0
6,112,0,0,0,1
7,127,0,0,0,1
8,143,0,0,0,1
9,160,0,0,0,1
10,174,0,0,0,1
11,192,0,0,0,2
12,203,0,0,0,2
13,209,0,0,0,2
14,231,0,0,0,2
15,268,0,0,0,2
16,284,0,0,0,2
17,305,0,0,0,2
18,328,0,0,0,2
19,337,0,0,0,3
20,348,1,0,0,3
21,389,7,0,0,4
22,395,15,0,0,4
23,416,37,0,0,7
24,423,50,0,0,7
25,448,68,0,0,8
26,481,84,0,0,8
27,501,109,0,0,8
28,520,127,0,0,9
29,544,146,0,0,9
30,571,159,0,0,10
31,590,170,0,0,11
32,605,184,0,0,11
33,616,197,0,0,11
34,635,215,0,0,11
35,666,233,0,0,12
36,690,254,0,0,15
37,712,284,0,0,16
38,726,301,0,0,16
39,732,319,0,0,16
40,779,336,0,0,17
41,802,354,0,0,17
42,816,369,0,0,17
43,834,386,0,0,17
44,863,399,0,0,18
45,880,415,0,0,18
46,900,441,0,0,19
47,901,462,0,0,19
48,912,489,0,0,19
49,926,506,0,0,20
50,938,523,0,0,20
51,958,550,0,0,20
52,971,574,0,0,20
53,997,594,0,0,21
54,1018,619,0,0,21
55,1040,635,0,0,22
56,1069,660,0,0,23
57,1090,679,0,0,24
58,1122,705,0,0,24
59,1139,717,0,0,24
60,1160,740,0,0,24
61,1186,761,0,0,24
62,1209,783,0,0,24
63,1220,815,0,0,24
64,1253,834,0,0,24
65,1283,850,0,0,24
66,1298,867,0,0,25
67,1314,882,0,0,25
68,1335,896,0,0,26
69,1360,915,0,0,26
70,1377,926,0,0,26
71,1407,936,0,0,26
72,1411,955,0,0,29
73,1430,975,0,0,29
74,1458,994,0,0,29
75,1465,1019,0,0,29
76,1493,1033,0,0,29
77,1514,1047,0,0,29
78,1517,1072,0,0,29
79,1530,1108,0,0,32
80,1545,1126,0,0,33
81,1559,1146,0,0,34
82,1574,1170,0,0,34
83,1616,1197,0,0,34
84,1622,1234,0,0,34
85,1641,1249,0,0,34
86,1664,1270,0,0,34
87,1665,1292,0,0,34
88,1682,1308,0,0,34
89,1698,1329,0,0,35
90,1707,1346,0,0,35
91,1717,1367,0,0,35
92,1718,1392,0,0,37
93,1745,1407,0,0,37
94,1766,1426,0,0,37
95,1777,1444,0,0,37
96,1803,1462,0,0,37
97,1813,1481,0,0,37
98,1833,1498,0,0,38
99,1847,1514,0,0,38
100,1877,1514,0,0,38
