Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,17,0,0,0,0
3,20,0,0,0,0
4,37,0,0,0,0
5,38,0,0,0,0
6,65,0,0,0,0
7,90,0,0,0,6
8,113,0,0,0,7
9,137,0,0,0,8
10,146,0,0,0,13
11,159,0,0,0,15
12,170,0,0,0,18
13,191,0,0,0,23
14,205,0,0,0,27
15,250,0,0,0,30
16,289,0,0,0,35
17,301,0,0,0,45
18,319,1,0,0,57
19,344,1,0,0,63
20,356,1,0,0,73
21,384,3,0,0,84
22,413,7,0,0,101
23,419,12,0,0,114
24,436,16,0,0,129
25,456,29,0,0,137
26,478,48,0,0,149
27,508,67,0,0,165
28,514,84,0,0,183
29,541,104,0,0,203
30,560,120,0,0,214
31,564,142,0,0,222
32,573,158,0,0,248
33,589,179,0,0,259
34,608,197,0,0,271
35,633,218,0,0,292
36,666,238,0,0,306
37,679,268,0,0,319
38,710,296,0,0,332
39,711,314,0,0,354
40,743,330,0,0,371
41,777,345,0,0,389
42,797,370,0,0,402
43,815,386,0,0,411
44,822,416,0,0,421
45,846,432,0,0,435
46,854,448,0,0,445
47,857,466,0,0,450
48,865,481,0,0,459
49,886,502,0,0,471
50,901,526,0,0,474
51,922,547,0,0,483
52,949,557,0,0,503
53,978,575,0,0,525
54,994,594,0,0,542
55,1026,607,0,0,571
56,1039,630,0,0,583
57,1075,653,0,0,603
58,1101,670,0,0,626
59,1114,701,0,0,643
60,1127,720,0,0,659
61,1160,739,0,0,678
62,1189,768,0,0,699
63,1219,782,0,0,718
64,1250,799,0,0,735
65,1297,817,0,0,757
66,1315,829,0,0,773
67,1341,843,0,0,794
68,1362,856,0,0,809
69,1370,865,0,0,817
70,1396,876,0,0,835
71,1404,893,0,0,845
72,1419,914,0,0,855
73,1437,940,0,0,869
74,1453,964,0,0,881
75,1463,992,0,0,887
76,1490,1015,0,0,894
77,1517,1043,0,0,904
78,1528,1057,0,0,916
79,1552,1086,0,0,929
80,1587,1103,0,0,941
81,1588,1129,0,0,953
82,1603,1156,0,0,965
83,1635,1182,0,0,976
84,1681,1202,0,0,990
85,1693,1229,0,0,994
86,1709,1260,0,0,999
87,1712,1292,0,0,1002
88,1735,1320,0,0,1006
89,1756,1344,0,0,1012
90,1764,1366,0,0,1016
91,1788,1380,0,0,1022
92,1820,1392,0,0,1035
93,1850,1409,0,0,1050
94,1879,1429,0,0,1057
95,1880,1446,0,0,1068
96,1900,1471,0,0,1074
97,1909,1489,0,0,1080
98,1928,1504,0,0,1085
99,1949,1525,0,0,1095
100,1977,1525,0,0,1095
