419,84.7306671143,13
419,81.0961074829,15
419,79.1834487915,17
419,87.2980041504,19
479,117.6686172485,13
479,116.3658523560,15
479,115.6802825928,17
479,118.5888519287,19
539,129.4748077393,13
539,129.0078430176,15
539,128.7621154785,17
539,129.8046569824,19
599,133.7065887451,13
599,133.5392303467,15
599,133.4511413574,17
599,133.8248138428,19
659,135.2233886719,13
659,135.1634063721,15
659,135.1318359375,17
659,135.2657775879,19
719,135.7670440674,13
719,135.7455596924,15
719,135.7342376709,17
719,135.7822418213,19
779,135.9619598389,13
779,135.9542541504,15
779,135.9501953125,17
779,135.9674072266,19
839,136.0317840576,13
839,136.0290222168,15
839,136.0275726318,17
839,136.0337371826,19
899,51.8242759705,13
899,55.4931106567,15
899,58.4144515991,17
899,49.2327270508,19
959,18.5757389069,13
959,19.8907852173,15
959,20.9379043579,17
959,17.6468334198,19
1019,6.6582326889,13
1019,7.1295933723,15
1019,7.5049176216,17
1019,6.3252778053,19
1079,2.3865571022,13
1079,2.5555102825,15
1079,2.6900408268,17
1079,2.2672138214,19
1139,0.8554303646,13
1139,0.9159894586,15
1139,0.9642104506,17
1139,0.8126533031,19
1199,0.3066178560,13
1199,0.3283244669,15
1199,0.3456088006,17
1199,0.2912849784,19
1259,0.1099032387,13
1259,0.1176836938,15
1259,0.1238790229,17
1259,0.1044073626,19
1319,0.0393933952,13
1319,0.0421821997,15
1319,0.0444028303,17
1319,0.0374234729,19
1379,0.0141200544,13
1379,0.0151196653,15
1379,0.0159156192,17
1379,0.0134139601,19
1439,0.0050611496,13
1439,0.0054194471,15
1439,0.0057047470,17
1439,0.0048080594,19
1499,0.0018141039,13
1499,0.0019425310,15
1499,0.0020447930,17
1499,0.0017233869,19
1559,0.0006502421,13
1559,0.0006962751,15
1559,0.0007329298,17
1559,0.0006177257,19
1619,0.0002330709,13
1619,0.0002495708,15
1619,0.0002627092,17
1619,0.0002214158,19
1679,0.0000835412,13
1679,0.0000894554,15
1679,0.0000941647,17
1679,0.0000793636,19
1739,0.0000299443,13
